kernel,args,regs,shmem,device_name,block_x,block_y,block_z,grid_x,grid_y,grid_z,warmup,reps,trials,mean_ms,std_ms,rows,cols,iters,block,grid_blocks,size_kind,FLOPs,BYTES,shared_bytes,working_set_bytes,mem_pattern,arithmetic_intensity,gpu_device_name,gpu_cc_major,gpu_cc_minor,gpu_sms,gpu_max_threads_per_sm,gpu_max_blocks_per_sm,gpu_regs_per_sm,gpu_shared_mem_per_sm,gpu_l2_bytes,gpu_warp_size,sustained_mem_bandwidth_gbps,sustained_compute_gflops
atomic_hotspot,--rows 1048576 --cols 1 --block 256 --iters 100 --warmup 10 --reps 50,7,0,NVIDIA GeForce RTX 2080 Ti,256,1,1,4096,1,1,10,50,10,2.596471,0.005649,1048576,1,100,256,4096,rows_cols,0,838860800,0,4,atomics_hotspot,0.0,NVIDIA GeForce RTX 2080 Ti,7,0,68,1024,16,65536,65536,5767168,32,540.95,11382.70
conv2d_3x3,--rows 1024 --cols 1024 --warmup 10 --reps 50,30,0,NVIDIA GeForce RTX 2080 Ti,16,16,1,64,64,1,10,50,10,0.028623,0.000421,1024,1024,0,(16,4096,rows_cols,0,0,0,0,coalesced,0.0,NVIDIA GeForce RTX 2080 Ti,7,0,68,1024,16,65536,65536,5767168,32,540.95,11382.70
conv2d_7x7,--rows 1024 --cols 1024 --warmup 10 --reps 50,40,0,NVIDIA GeForce RTX 2080 Ti,16,16,1,64,64,1,10,50,10,0.115670,0.001098,1024,1024,0,(16,4096,rows_cols,0,0,0,0,coalesced,0.0,NVIDIA GeForce RTX 2080 Ti,7,0,68,1024,16,65536,65536,5767168,32,540.95,11382.70
dot_product,--rows 1048576 --cols 1 --block 256 --warmup 20 --reps 100,15,1024,NVIDIA GeForce RTX 2080 Ti,256,1,1,4096,1,1,20,100,10,0.019150,0.000012,1048576,1,0,256,4096,rows_cols,2097152,8396800,1024,8388608,shared_reduction,0.2497560975609756,NVIDIA GeForce RTX 2080 Ti,7,0,68,1024,16,65536,65536,5767168,32,540.95,11382.70
histogram,--rows 1048576 --cols 1 --block 256 --warmup 10 --reps 50,10,1024,NVIDIA GeForce RTX 2080 Ti,256,1,1,4096,1,1,10,50,10,0.066583,0.000034,1048576,1,0,256,4096,rows_cols,0,8388608,0,4195328,atomics_global_256,0.0,NVIDIA GeForce RTX 2080 Ti,7,0,68,1024,16,65536,65536,5767168,32,540.95,11382.70
matmul_naive,--rows 512 --cols 512 --warmup 10 --reps 50,40,0,NVIDIA GeForce RTX 2080 Ti,16,16,1,32,32,1,10,50,10,0.309226,0.003761,512,512,0,(16,1024,rows_cols,268435456,3145728,0,3145728,coalesced,85.33333333333333,NVIDIA GeForce RTX 2080 Ti,7,0,68,1024,16,65536,65536,5767168,32,540.95,11382.70
matmul_tiled,--rows 512 --cols 512 --warmup 10 --reps 50,37,8192,NVIDIA GeForce RTX 2080 Ti,32,32,1,16,16,1,10,50,10,0.184089,0.004429,512,512,0,(32,256,rows_cols,268435456,3145728,2097152,3145728,coalesced,85.33333333333333,NVIDIA GeForce RTX 2080 Ti,7,0,68,1024,16,65536,65536,5767168,32,540.95,11382.70
naive_transpose,--rows 2048 --cols 2048 --warmup 20 --reps 100,8,0,NVIDIA GeForce RTX 2080 Ti,16,16,1,128,128,1,20,100,10,0.084688,0.001092,2048,2048,0,(16,16384,rows_cols,0,33554432,0,33554432,transpose_naive,0.0,NVIDIA GeForce RTX 2080 Ti,7,0,68,1024,16,65536,65536,5767168,32,540.95,11382.70
random_access,--rows 1048576 --cols 1 --block 256 --warmup 20 --reps 100,10,0,NVIDIA GeForce RTX 2080 Ti,256,1,1,4096,1,1,20,100,10,0.018310,0.000067,1048576,1,0,256,4096,rows_cols,0,8388608,0,8388608,random_gather,0.0,NVIDIA GeForce RTX 2080 Ti,7,0,68,1024,16,65536,65536,5767168,32,540.95,11382.70
reduce_sum,--rows 1048576 --cols 1 --block 256 --warmup 20 --reps 100,10,1024,NVIDIA GeForce RTX 2080 Ti,256,1,1,4096,1,1,20,100,10,0.015491,0.000020,1048576,1,0,256,4096,rows_cols,1048576,4202496,1024,12582912,shared_reduction,0.24951267056530213,NVIDIA GeForce RTX 2080 Ti,7,0,68,1024,16,65536,65536,5767168,32,540.95,11382.70
saxpy,--rows 1048576 --cols 1 --block 256 --warmup 20 --reps 100,12,0,NVIDIA GeForce RTX 2080 Ti,256,1,1,4096,1,1,20,100,10,0.025769,0.000880,1048576,1,0,256,4096,rows_cols,2097152,12582912,0,12582912,coalesced,0.16666666666666666,NVIDIA GeForce RTX 2080 Ti,7,0,68,1024,16,65536,65536,5767168,32,540.95,11382.70
shared_bank_conflict,--rows 1 --cols 1 --warmup 20 --reps 100,206,4096,NVIDIA GeForce RTX 2080 Ti,1024,1,1,1,1,1,20,100,10,0.001458,0.000056,1,1,0,1024,1,rows_cols,0,0,4096,4096,smem_bank_conflict,0.0,NVIDIA GeForce RTX 2080 Ti,7,0,68,1024,16,65536,65536,5767168,32,540.95,11382.70
shared_transpose,--rows 2048 --cols 2048 --warmup 20 --reps 100,10,4224,NVIDIA GeForce RTX 2080 Ti,32,32,1,64,64,1,20,100,10,0.072037,0.001138,2048,2048,0,(32,4096,rows_cols,0,33554432,16777216,33554432,transpose_tiled,0.0,NVIDIA GeForce RTX 2080 Ti,7,0,68,1024,16,65536,65536,5767168,32,540.95,11382.70
strided_copy_8,--rows 1048576 --cols 1 --block 256 --warmup 20 --reps 100,8,0,NVIDIA GeForce RTX 2080 Ti,256,1,1,4096,1,1,20,100,10,0.021522,0.000083,1048576,1,0,256,4096,rows_cols,0,1048576,0,1048576,stride_8,0.0,NVIDIA GeForce RTX 2080 Ti,7,0,68,1024,16,65536,65536,5767168,32,540.95,11382.70
vector_add,--rows 1048576 --cols 1 --block 256 --warmup 20 --reps 100,12,0,NVIDIA GeForce RTX 2080 Ti,256,1,1,4096,1,1,20,100,10,0.025702,0.000867,1048576,1,0,256,4096,rows_cols,1048576,12582912,0,12582912,coalesced,0.08333333333333333,NVIDIA GeForce RTX 2080 Ti,7,0,68,1024,16,65536,65536,5767168,32,540.95,11382.70
vector_add_divergent,--rows 1048576 --cols 1 --block 256 --warmup 20 --reps 100,15,0,NVIDIA GeForce RTX 2080 Ti,256,1,1,4096,1,1,20,100,10,0.096771,0.002195,1048576,1,0,256,4096,rows_cols,0,0,0,0,coalesced,0.0,NVIDIA GeForce RTX 2080 Ti,7,0,68,1024,16,65536,65536,5767168,32,540.95,11382.70
